uid	username	avg_play_time
931	931_username	00:14:19.3750
932	932_username	00:15:00.2500
933	933_username	00:14:10.4444
934	934_username	00:14:01.2777
935	935_username	00:14:27.6315
936	936_username	00:14:56.7777
937	937_username	00:15:41.6111
938	938_username	00:14:22.2380
939	939_username	00:14:03.0000
940	940_username	00:15:08.1176
941	941_username	00:14:41.0000
942	942_username	00:16:46.8571
943	943_username	00:14:06.3913
944	944_username	00:15:03.3636
945	945_username	00:14:39.3750
946	946_username	00:14:27.6363
947	947_username	00:15:26.5714
948	948_username	00:15:51.7500
949	949_username	00:15:11.5000
950	950_username	00:14:43.4500
951	951_username	00:15:05.3333
952	952_username	00:14:10.2105
953	953_username	00:14:46.1176
954	954_username	00:14:40.7222
955	955_username	00:13:37.7083
956	956_username	00:15:58.0588
957	957_username	00:14:14.2631
958	958_username	00:15:05.4400
959	959_username	00:14:45.7500
960	960_username	00:15:08.6153
961	961_username	00:14:36.5000
962	962_username	00:13:34.7894
963	963_username	00:14:50.4545
964	964_username	00:14:24.4705
965	965_username	00:14:52.4193
966	966_username	00:14:24.6190
967	967_username	00:13:34.0000
968	968_username	00:13:11.0000
969	969_username	00:14:52.1111
970	970_username	00:14:24.0476
971	971_username	00:14:15.1000
972	972_username	00:14:48.8888
973	973_username	00:14:34.0588
974	974_username	00:13:18.3333
975	975_username	00:14:17.3333
976	976_username	00:14:09.6842
977	977_username	00:15:06.2631
978	978_username	00:13:43.1904
979	979_username	00:14:35.3157
980	980_username	00:14:18.0000
981	981_username	00:14:45.2941
982	982_username	00:13:24.2500
983	983_username	00:11:59.7826
984	984_username	00:13:59.8333
985	985_username	00:15:00.3200
986	986_username	00:16:01.3000
987	987_username	00:14:50.7272
988	988_username	00:13:39.5000
989	989_username	00:13:57.0000
990	990_username	00:14:40.2631
991	991_username	00:14:51.7368
992	992_username	00:14:09.1379
993	993_username	00:14:40.0454
994	994_username	00:14:44.5789
995	995_username	00:15:07.2307
996	996_username	00:14:50.4444
997	997_username	00:14:51.5000
998	998_username	00:15:24.7333
999	999_username	00:13:57.3684
1000	test	00:00:00
